"","ID","starttime_dmy","completiontime_dmy","consent","accuracy","accuracy_asin","recall","recall_asin","farmingexp_YN","sheepexp_years","sheeproles_type","sheeproles_details","sheeplamenessexp_prev","UP","SS","LS","NH","WBS","WBW","RM","SW","O","symptoms_otherdetails","timesplayed","tutorial","cpu_setup","controlsprobs_YN","controlsprobs_descrip","strategy_type","strategy_otherdetails","moving_type","moving_otherdetails","timespent","Please.share.any.general.feedback.main.thoughts.after.playing.the.game.below."
"39",47,2021-06-09 11:01:43,2021-06-09 11:16:41,"I agree",82,1.13264729621073,75,1.0471975511966,"No",NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Looked wobbly when moving",1,"Yes, but didn't observe the sheep walking","Mouse","Yes","Didn't work on Safari browser - worked fine on Firefox","Zoomer",NA,"Randomly",NA,8.88333333333333,NA
"40",48,2021-06-09 15:05:00,2021-06-09 15:13:04,"I agree",100,1.5707963267949,21,0.476033818061323,"No",NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1,"Yes, and observed the sheep walking","Trackpad","No","No","Zoomer",NA,"Semi-randomly",NA,2.05,NA
"41",49,2021-06-10 13:28:48,2021-06-10 13:43:56,"I agree",100,1.5707963267949,5,0.225513405898131,"No",NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,0,"Yes, and observed the sheep walking","Unknown","No","N/A","Zoomer",NA,"Randomly",NA,4.51666666666667,NA
"42",50,2021-06-11 12:39:49,2021-06-11 13:06:33,"I agree",90,1.24904577239825,69,0.980296311634579,"Yes",7,"Other;","helped out on my family small holding which had sheep from 10 to 18 yrs old","Between 5 and 10%",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,"Yes, but didn't observe the sheep walking","Mouse","Yes","took me a little while to get use dto controls, also i had to go and answer the door for the last minute and couldn't figure out how to pause!","Zoomer",NA,"Semi-randomly",NA,8.86666666666667,"I thought lameness was really realistic- but was expecting more variation (ie from very early to very severe, different legs, etc - though maybe I didn't spot that!)"
"43",51,2021-06-14 14:31:45,2021-06-14 15:01:57,"I agree",100,1.5707963267949,9,0.304692654015398,"Yes",30,NA,NA,"Between 5 and 10%",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,1,"Yes, and observed the sheep walking","Unknown","Yes","Had trouble zooming in and marking specific sheep","Zoomer",NA,"Randomly",NA,8.31666666666667,"Found it very frustrating. Not realistic. Movement stilted which made identifying slightly lame sheep virtually impossible. Most of the time all sheep standing still, leading to frustration with the game and rushing."
"44",52,2021-06-16 12:46:04,2021-06-16 13:00:32,"I agree",90,1.24904577239825,69,0.980296311634579,"No",NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,1,"Yes, and observed the sheep walking","Mouse","No","N/A","Zoomer",NA,"Semi-randomly",NA,4.75,NA
"45",53,2021-06-17 09:22:28,2021-06-17 09:44:50,"I agree",78,1.08259106339798,58,0.865743489873404,"No",NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,3,"Yes, but didn't observe the sheep walking","Mouse","No","n/a","Zoomer",NA,"Linear",NA,3.31666666666667,NA
"46",54,2021-06-18 14:47:41,2021-06-18 15:03:21,"I agree",100,1.5707963267949,25,0.523598775598299,"Yes",10,"Farmer;",NA,"Over 10%",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,0,"Yes, but didn't observe the sheep walking","Trackpad","No","no","Zoomer",NA,"Other","observed when they started walking",6.4,NA
"47",55,2021-06-18 15:56:00,2021-06-18 16:06:10,"I agree",67,0.958856612161029,38,0.664215237877967,"No",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,0,"Yes, but didn't observe the sheep walking","Mouse","No","N/A","Zoomer",NA,"Randomly",NA,4.15,NA
"48",56,2021-06-21 10:11:01,2021-06-21 10:25:10,"I agree",60,0.886077123792614,3,0.17408301063648,"No",NA,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,"Yes, and observed the sheep walking","Mouse","No","NA","Up-close",NA,"Randomly",NA,2.98333333333333,NA
"49",57,2021-06-21 12:42:15,2021-06-21 13:10:33,"I agree",100,1.5707963267949,63,0.916909264851683,"Yes",0,"Other;","Lecturer/research in dairy cow lameness (limited sheep experience)","Between 5 and 10%",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1,"Yes, and observed the sheep walking","Mouse","No","n/a","Zoomer",NA,"Linear",NA,4.7,"I thought this was brilliant. It was a bit frustrating not to be able to mark non-lame sheep when surveying, but that is more realistic and requires strategy. The main issue was the unrealistic movement of the feet on the ground whilst standing. On my PC there was a foot slide effect. I didn't look for standing signs as I thought they were more graphics errors"
"50",58,2021-06-21 15:33:01,2021-06-21 18:25:49,"I agree",88,1.21705472090523,70,0.991156586431192,"No",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Uneven walking gait; mostly if one hind limb had a longer stride than the other (distance or duration)",0,"Yes, but didn't observe the sheep walking","Mouse","No","na","Other","Observed the whole flock and zoomed in when I saw one walking to observe if it had an even gait","Linear",NA,8.91666666666667,NA
"51",59,2021-06-21 20:44:41,2021-06-21 21:01:48,"I agree",67,0.958856612161029,53,0.815416192620087,"No",NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,1,"Yes, but didn't observe the sheep walking","Mouse","No","n/a","Up-close",NA,"Semi-randomly",NA,3.7,NA
"52",60,2021-06-24 18:16:47,2021-06-24 18:27:23,"I agree",75,1.0471975511966,21,0.476033818061323,"No",NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,0,"Yes, and observed the sheep walking","Trackpad","No","N/A","Zoomer",NA,"Linear",NA,4.21666666666667,NA
"53",61,2021-06-24 17:59:58,2021-06-24 19:21:07,"I agree",88,1.21705472090523,88,1.21705472090523,"No",NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,0,"Yes, and observed the sheep walking","Mouse","No","I said no, silly form.","Other","Divided the flock into 4 chunks, then observed and zoomed in on each chunk in turn.","Linear",NA,5,NA
"54",62,2021-06-25 14:56:33,2021-06-25 15:07:24,"I agree",75,1.0471975511966,43,0.71516745604252,"Yes",3,"Stockman/woman/person;Other;","Farming Policy","Under 2%",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,0,"Yes, but didn't observe the sheep walking","Mouse","No",NA,"Zoomer",NA,"Randomly",NA,4.98333333333333,NA
"55",63,2021-06-25 14:58:41,2021-06-25 15:14:09,"I agree",100,1.5707963267949,43,0.71516745604252,"No",NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,0,"Yes, and observed the sheep walking","Mouse","No",NA,"Zoomer",NA,"Semi-randomly",NA,6.93333333333333,NA
"56",64,2021-06-25 15:57:00,2021-06-25 16:17:01,"I agree",7,0.267763327157194,7,0.267763327157194,"No",NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,1,"Yes, and observed the sheep walking","Unknown","No",NA,"Zoomer",NA,"Semi-randomly",NA,3.86666666666667,NA
"57",65,2021-06-25 16:23:51,2021-06-25 16:34:38,"I agree",93,1.3030329996377,81,1.11976951499863,"No",NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,"Yes, but didn't observe the sheep walking","Mouse","No",NA,"Zoomer",NA,"Randomly",NA,5.8,NA
"58",66,2021-06-25 16:27:58,2021-06-25 16:35:51,"I agree",89,1.23273107201457,67,0.958856612161029,"Yes",3,"Other;","Livestock policy",NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,1,"Yes, but didn't observe the sheep walking","Mouse","No",NA,"Up-close",NA,"Semi-randomly",NA,5.8,NA
"59",67,2021-06-26 21:41:48,2021-06-26 22:00:00,"I agree",70,0.991156586431192,64,0.927295218001612,"Yes",10,"Farmer;",NA,"Between 5 and 10%",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,0,"No","Mouse","No",NA,"Zoomer",NA,"Linear",NA,7.41666666666667,"Could be enhanced by slightly more realistic depiction of sheep movement for non-lame sheep"
